(1, 40, 'MTCS_disc', (3, 150, 1), 20, 'static', 50)|	[0.0, 1.1517676099947343, 1.7513104784906306, 2.6518391539544011, 4.4077964479696847, 6.6908386437713094, 8.7496381383767083, 10.593338185017549, 12.758357367137995, 15.928704548173096, 19.664893185631371, 23.514556710792121, 27.339443276780425, 31.11752846000779, 34.660819598444938, 38.334859093967808, 42.309575515107447, 46.670677655384324, 51.282201785790861, 55.777208034028462, 59.9499435407307, 64.274497977965154, 68.846771388664692, 73.68081069813033, 78.732404292811594, 83.661550197995297, 88.574101874827861, 93.477993973098094, 98.482596823673006, 103.53515335864527, 108.59674155262357, 113.76086740329873, 118.97882501960112, 124.10814857709613, 129.21127311951525, 134.44708076539933, 139.70760209188117, 144.86563006757436, 150.23231684315797, 155.61357399288906, 160.87634960175083]
(2, 40, 'MTCS_disc', (4, 200, 1), 20, 'static', 50)|	[0.0, 1.1510351826886049, 1.7298790853288262, 2.4884964195245689, 3.9322564698828928, 5.9192381457230479, 7.8650135197142763, 10.000244835135859, 12.485388494874639, 15.716280979402732, 19.42341510928291, 23.51754851644856, 27.485457464040579, 31.231696808089904, 35.242897133140531, 39.168425695723712, 43.075397548091075, 47.138412951348371, 51.621017488839961, 56.265393767280145, 60.886219404839366, 65.639319031807332, 70.546548671180659, 75.547330715293782, 80.534803645291049, 85.536165988257366, 90.525126194228108, 95.569406089117507, 100.58406119095456, 105.55557954301823, 110.50933672689825, 115.45676541582451, 120.49103970122731, 125.60624582713336, 130.80162114563163, 135.87702569571803, 141.02405936296611, 146.21929360260802, 151.37924128892976, 156.41203561965111, 161.49082033526344]
(3, 40, 'MTCS_disc', (5, 400, 1), 20, 'static', 50)|	[0.0, 1.1539648919131222, 1.7422834711802813, 2.3626313080595951, 3.4140396043884551, 4.8418148852081178, 6.2909309122668073, 7.8252608407705315, 9.740015990871564, 12.622266442948176, 16.27147012508539, 20.171636680207186, 23.955045173481878, 27.496366900709027, 31.348951180243283, 35.608845698549501, 39.933647346954054, 44.072672350340234, 48.37244657769633, 52.856383481284659, 57.457904083549487, 62.264623124181341, 67.179916770718222, 71.996585224319134, 76.854394734003421, 81.874178231741524, 86.732714349226683, 91.478535110334548, 96.349069338587711, 101.39064246394197, 106.45549600012387, 111.6388796716442, 116.78740847613761, 121.8502816812416, 127.02496213865776, 132.01111052291398, 136.91647277251687, 141.97560617145322, 147.04728964856704, 152.13270819672391, 157.16759271533732]
(4, 40, 'MTCS_cont', (3, 150, 1), 20, 'static', 50)|	[0.0, 1.33921758281325, 2.5469321126342495, 3.7799394361909937, 5.0873975233379092, 6.8770551623957887, 9.2193156235737828, 11.860868672982511, 14.637320460681067, 17.335817361138488, 20.155072766645972, 23.097864188476166, 26.151682374163396, 28.923856845532761, 31.679014083222324, 34.742593461191952, 38.063284312691827, 41.824385644155008, 45.842933204787926, 49.950050757450342, 54.068623585362673, 57.898392377461043, 61.593503370164193, 65.374087631285889, 69.43256267859212, 73.462643040529088, 77.297943447164556, 80.993898021230521, 84.922379870417174, 89.082813208629801, 93.449572778140279, 97.973100271210939, 102.93523264345971, 107.84713385045862, 112.58261828177687, 117.37578168665472, 122.41633179732383, 127.39215509472987, 132.23435874424848, 137.11945990844609, 142.07487162151014]
(5, 40, 'MTCS_cont', (4, 200, 1), 20, 'static', 50)|	[0.0, 1.3346624482703993, 2.3566469247344344, 3.5915265292499323, 5.4051193376557221, 7.8696496097088255, 10.493790034143686, 13.096597628632814, 15.901630229856682, 18.899037068811612, 22.133096162553983, 25.542009251246739, 28.582148504266023, 31.740591492729763, 35.073131783063602, 38.509709575850735, 41.901571049748839, 45.389377325935918, 49.001890555934118, 52.685438862764471, 56.634395525518528, 60.718892909600612, 64.922344459415228, 69.45553953126857, 74.041124565001979, 78.583236155744032, 83.257677697192136, 88.037383528629107, 92.53201980661737, 97.093507989175436, 101.56606830290042, 105.89990845456995, 110.36327876546848, 114.75115384277453, 119.2594785342211, 123.91492845418135, 128.67262978831485, 133.36670760202111, 138.01859280871159, 142.84379273341628, 147.9624005947091]
(6, 40, 'MTCS_cont', (5, 400, 1), 20, 'static', 50)|	[0.0, 1.3105411477266031, 2.3510787180119541, 3.6051808522680004, 5.1666859900066093, 7.0002425298442539, 9.0338425686730446, 11.103826372818478, 13.178981045246069, 15.418715449296609, 17.818789502060806, 20.433789604290833, 23.441640941822016, 26.699319536585016, 29.759875270081039, 32.782518669817158, 35.747715084855734, 38.694350917347528, 41.774438291399768, 44.963519244450879, 48.289427782920512, 51.894095061140149, 55.646887573429964, 59.398797106484857, 63.185142920407323, 67.173722548936254, 71.137252780613693, 75.155336778640716, 79.38668713424417, 83.705128647967072, 87.812334815392418, 91.901010467629561, 96.102320278999912, 100.28605007286447, 104.41427997941172, 108.60206791041084, 112.99629989425962, 117.55089837025525, 121.99511162589501, 126.72614802005944, 131.44545210555663]
(7, 40, 'FTS', 1, 20, 'static', 1)|	[0.0, 1.1752052837908709, 1.9899621754792662, 3.0477817402968039, 4.0864858810497644, 4.8351579418267976, 5.8233433295286527, 7.1372121800390742, 9.0990585408042612, 12.146970672145864, 16.539116722725115, 20.366296730304839, 22.851065979787535, 24.815541149139957, 26.479246273249156, 28.003222545888882, 30.475897163658246, 32.575716347541231, 35.961134915914521, 37.85243120411841, 41.417677852176958, 47.243375827990512, 53.832327172880753, 60.676239909458893, 67.344896367134993, 74.230393129759236, 81.038707532806072, 87.909261919129023, 94.751823636957553, 101.59438535478608, 108.43694707261461, 115.27950879044315, 122.12207050827168, 128.96463222610021, 135.80719394392872, 142.64975566175724, 149.49231737958576, 156.33487909741427, 163.17744081524279, 170.02000253307131, 176.86256425089982]
(8, 40, 'FTS', 2, 20, 'static', 1)|	[0.0, 1.1752052837908709, 1.9899621754792662, 3.0477817402968039, 4.0864858810497644, 4.8351579418267976, 5.8233433295286527, 7.1372121800390742, 8.9899860620074215, 11.674087409658194, 14.794790272786617, 17.516667387858075, 19.942062127984411, 21.487931425150297, 23.011907697790022, 24.747636135816347, 28.832096290138534, 32.88538446811895, 34.77668075632284, 38.341927404381387, 44.167625380194941, 50.756576725085182, 57.600489461663322, 64.283261684001673, 71.191016178461709, 78.032447598181605, 84.796931829239313, 91.61463475887102, 98.432337688502727, 105.25004061813443, 112.06774354776614, 118.88544647739785, 125.70314940702956, 132.52085233666131, 139.33855526629301, 146.15625819592472, 152.97396112555643, 159.79166405518814, 166.60936698481984, 173.42706991445155, 180.24477284408326]
(9, 40, 'FTS', 3, 20, 'static', 1)|	[0.0, 1.1752052837908709, 1.9899621754792662, 3.0477817402968039, 4.0864858810497644, 4.8351579418267976, 5.8233433295286527, 7.1372121800390742, 8.9899860620074215, 11.674087409658194, 14.794790272786617, 17.516667387858075, 19.942062127984411, 21.487931425150297, 23.011907697790022, 25.484582315559386, 27.584401499442375, 30.969820067815675, 32.861116356019565, 36.426363004078112, 42.252060979891667, 48.841012324781907, 55.684925061360047, 62.353581519036148, 69.239078281660383, 76.047392684707219, 82.855707087754055, 89.664021490800891, 96.534575877123842, 103.37713759495237, 110.2196993127809, 117.06226103060943, 123.90482274843797, 130.74738446626651, 137.58994618409503, 144.43250790192354, 151.27506961975206, 158.11763133758058, 164.96019305540909, 171.80275477323761, 178.64531649106613]
