x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
 'MTCS_disc'3,0,1.1546973192,1.7655183955,2.6552946654,4.3693916742,6.5908811046,8.8848769516,11.1005504555,13.5151789519,16.6191397715,20.0840640806,23.6504875887,27.4496500596,31.2053698058,34.9457820002,38.7541422525,42.3210875038,45.9381027656,49.7681606661,53.9120487782,58.3646134516,62.8953822796,67.4641245041,72.02315388,76.8389575415,81.6408225974,86.5337779948,91.6816177681,96.7499845146,101.7150051544,106.9078388696,112.3266436776,117.7353583474,122.9874236703,128.2202080099,133.4209723207,138.63822836,143.8478842163,149.0671901137,154.2312611911,159.4100209458
 'MTCS_disc'4,0,1.1532324646,1.7468005945,2.5437111435,4.0233203467,5.9634593073,7.6666713163,9.1673764844,10.9962371243,13.6408937628,16.9891722057,20.5839930316,24.1750820522,27.6408097485,31.4008404895,35.6465073223,39.8474749848,43.9840143207,48.1145388188,52.4665221906,57.0851496502,61.7639052038,66.449047856,71.2834568257,76.089233795,80.9646810872,86.0064262768,91.0796445924,96.2512565199,101.2608489189,106.3698781714,111.6453166497,116.8795748793,122.1570099712,127.451150193,132.8042096402,138.1951553872,143.5396895585,148.8624763032,154.230939746,159.6475078351
 'MTCS_disc'5,0,1.1532324646,1.7953603361,2.7204741839,4.3570596322,6.3983971846,8.6906001374,11.239978726,13.965644346,17.2292296889,20.9995936123,24.9770445482,28.9360331979,32.9346666986,36.9960279214,41.2603412453,45.7223319391,50.0211902694,54.434291044,59.0456641434,63.2837936312,67.684944987,72.3432085921,76.9232953213,81.7156006681,86.7369958065,91.6786308891,96.4625693554,101.3641823276,106.3649641832,111.3691523573,116.2689465496,120.8811944979,125.5643970742,130.5006696541,135.5401329021,140.4601862299,145.3514677292,150.2039567372,155.0426252494,159.9274859736
 'MTCS_cont'3,0,1.3034984004,2.3460970209,3.5771272246,5.0426433149,6.8868331746,8.8587874404,11.109770673,13.8564888101,16.6572556439,19.4061507727,22.3141747063,25.4168056402,28.2732783069,30.9150025359,33.6711836861,36.7548612985,39.9808396697,43.495851197,47.2262876836,51.0833821686,54.9580346666,58.6684896846,62.3856851362,66.188254502,70.0696074789,74.2215284121,78.4311787466,82.8378203752,87.2100956827,91.5935058589,95.9122823341,100.2274735063,104.5575538583,108.9678075766,113.2126618706,117.6582301516,122.1640697942,126.7944925655,131.6667063135,136.5432007646
 'MTCS_cont'4,0,1.3433096363,2.5213971297,3.6949569592,5.0496844034,6.7864562693,8.8950584151,11.1459843875,13.5343625422,16.3471537732,19.2781708203,22.0971407246,25.0012534376,27.9162809608,30.9515656732,33.9229199989,37.1307720098,40.2065529072,42.9471953835,45.9424291993,49.1565851441,52.7260999609,56.8421289117,60.9575179509,65.0133820025,68.7349126113,72.5869048028,76.6779555681,81.0130601471,85.2456255517,89.5582742354,93.775413895,97.9446953014,102.1679175474,106.3575003158,110.741197403,115.1755367228,119.8122784752,124.4611496322,128.9419277901,133.67078346
 'MTCS_cont'5,0,1.2898867833,2.1705326204,3.2843347226,4.9051412848,7.0199458951,9.3700000441,12.0838709911,14.8528080222,17.489444516,20.0025261564,22.7045490371,25.8356937618,29.1221028066,32.3452477905,35.5909182289,38.793571201,42.0523209365,45.6311619224,49.6769128667,53.7234247073,57.5546199209,61.3497652452,65.5991477134,69.7651712216,73.9255061082,78.185281413,82.5471188661,86.8800746774,91.0580156179,95.431153099,99.7674087961,104.1736545472,108.8867983414,113.5934851071,118.1314580671,122.7243400518,127.4134652675,132.0983023985,136.8018820126,141.5835025067
 'FTS'1,0,1.1752052838,1.9899621755,3.0477817403,4.086485881,4.8351579418,5.8233433295,7.13721218,9.0990585408,12.1469706721,16.5391167227,20.3662967303,22.8510659798,24.8155411491,26.4792462732,28.0032225459,30.4758971637,32.5757163475,35.9611349159,37.8524312041,41.4176778522,47.243375828,53.8323271729,60.6762399095,67.3448963671,74.2303931298,81.0387075328,87.9092619191,94.751823637,101.5943853548,108.4369470726,115.2795087904,122.1220705083,128.9646322261,135.8071939439,142.6497556618,149.4923173796,156.3348790974,163.1774408152,170.0200025331,176.8625642509
 'FTS'2,0,1.1752052838,1.9899621755,3.0477817403,4.086485881,4.8351579418,5.8233433295,7.13721218,8.989986062,11.6740874097,14.7947902728,17.5166673879,19.942062128,21.4879314252,23.0119076978,24.7476361358,28.8320962901,32.8853844681,34.7766807563,38.3419274044,44.1676253802,50.7565767251,57.6004894617,64.283261684,71.1910161785,78.0324475982,84.7969318292,91.6146347589,98.4323376885,105.2500406181,112.0677435478,118.8854464774,125.703149407,132.5208523367,139.3385552663,146.1562581959,152.9739611256,159.7916640552,166.6093669848,173.4270699145,180.2447728441
 'FTS'3,0,1.1752052838,1.9899621755,3.0477817403,4.086485881,4.8351579418,5.8233433295,7.13721218,8.989986062,11.6740874097,14.7947902728,17.5166673879,19.942062128,21.4879314252,23.0119076978,25.4845823156,27.5844014994,30.9698200678,32.861116356,36.4263630041,42.2520609799,48.8410123248,55.6849250614,62.353581519,69.2390782817,76.0473926847,82.8557070878,89.6640214908,96.5345758771,103.377137595,110.2196993128,117.0622610306,123.9048227484,130.7473844663,137.5899461841,144.4325079019,151.2750696198,158.1176313376,164.9601930554,171.8027547732,178.6453164911
